uid,gid,player,del,first,last,name,position1,pat,fgs,fgm,fgl,fp,game,seas,year,team
2281,1150,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,1,1,0,8,6,9,2004,NE
2305,1162,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,1,0,9,7,9,2004,NE
2318,1168,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,0,0,0,2,4,3,2004,MIA
2339,1179,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,2,2,0,18,8,9,2004,NE
2373,1195,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,4,1,0,18,9,9,2004,NE
2406,1212,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,2,0,0,9,10,9,2004,NE
2426,1222,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,1,2,0,12,11,9,2004,NE
2444,1231,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,6,0,0,0,6,12,9,2004,NE
2493,1256,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,5,0,0,0,5,13,9,2004,NE
2533,1276,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,0,0,0,4,14,9,2004,NE
2554,1286,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,3,0,0,11,15,9,2004,NE
2583,1300,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,0,0,0,3,16,9,2004,NE
2612,1315,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,2,0,0,8,17,9,2004,NE
2618,1318,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,5,1,1,0,12,18,9,2004,NE
2621,1319,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,1,0,0,6,19,9,2004,NE
2623,1320,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,1,0,0,6,1,10,2005,NE
2635,1326,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,1,0,0,0,1,1,1,2005,NYJ
2639,1328,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,3,0,1,0,7,1,4,2005,TB
2656,1337,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,0,1,0,6,2,10,2005,NE
2669,1344,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,0,1,0,6,2,1,2005,NYJ
2676,1347,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,0,1,0,6,2,4,2005,TB
2691,1354,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,0,1,0,6,3,4,2005,TB
2700,1358,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,2,0,0,8,3,1,2005,NYJ
2704,1360,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,2,0,13,3,10,2005,NE
2719,1367,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,0,1,0,0,3,4,1,2005,NYJ
2726,1371,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,0,0,5,4,10,2005,NE
2734,1375,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,0,1,0,6,4,4,2005,TB
2746,1381,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,1,0,0,7,5,10,2005,NE
2752,1383,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,0,1,0,5,1,1,2005,CHI
2763,1389,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,0,3,1,0,13,5,4,2005,TB
2764,1389,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,0,0,0,2,5,1,2005,NYJ
2776,1395,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,0,1,0,6,6,1,2005,NYJ
2778,1396,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,4,0,0,0,4,2,1,2005,CHI
2781,1398,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,2,0,0,8,6,10,2005,NE
2793,1404,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,3,2,0,0,9,6,4,2005,TB
2805,1410,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,1,0,0,4,3,1,2005,CHI
2828,1421,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,0,0,0,2,7,1,2005,NYJ
2838,1426,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,2,0,0,7,4,1,2005,CHI
2847,1431,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,0,1,0,5,7,4,2005,TB
2853,1434,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,0,0,0,3,7,10,2005,NE
2873,1444,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,2,2,0,0,8,5,1,2005,CHI
2874,1445,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,2,0,0,8,8,1,2005,NYJ
2879,1447,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,0,0,0,2,8,4,2005,TB
2883,1449,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,0,0,0,3,8,10,2005,NE
2889,1452,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,0,1,0,0,3,9,1,2005,NYJ
2890,1453,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,2,1,0,0,5,6,1,2005,CHI
2899,1457,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,0,3,0,0,9,9,10,2005,NE
2906,1461,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,4,0,0,0,4,9,4,2005,TB
2912,1464,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,3,1,2,0,14,10,4,2005,TB
2917,1466,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,2,0,0,7,7,1,2005,CHI
2925,1471,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,1,0,0,6,10,10,2005,NE
2957,1486,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,1,0,0,4,11,10,2005,NE
2966,1491,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,2,0,0,7,8,1,2005,CHI
2967,1491,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,1,0,0,4,11,4,2005,TB
2972,1494,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,1,2,2,0,15,10,1,2005,NYJ
2980,1498,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,3,1,0,14,9,1,2005,CHI
2992,1504,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,3,0,0,10,12,10,2005,NE
2993,1504,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,0,1,0,0,3,11,1,2005,NYJ
