player,first,last,name,position1,start
TB-2075,Tyler,Boyd,Tyler Boyd,WR,2016
TD-0737,Trevor,Davis,Trevor Davis,WR,2016
TH-1750,Tyreek,Hill,Tyreek Hill,WR,2016
TJ-2650,Tevin,Jones,Tevin Jones,WR,2016
TS-1262,Tajae,Sharpe,Tajae Sharpe,WR,2016
WF-0300,Will,Fuller,Will Fuller,WR,2016
AC-0387,Austin,Carr,Austin Carr,WR,2017
AP-0388,Andre,Patton,Andre Patton,WR,2017
BW-2475,Bobo,Wilson,Bobo Wilson,WR,2017
CB-1750,C.J.,Board,C.J. Board,WR,2017
CD-0975,Corey,Davis,Corey Davis,WR,2017
CG-1425,Chris,Godwin,Chris Godwin,WR,2017
CG-2162,Cyril,Grayson,Cyril Grayson,WR,2017
CH-3775,Cody,Hollister,Cody Hollister,WR,2017
CK-1300,Cooper,Kupp,Cooper Kupp,WR,2017
CS-0050,Curtis,Samuel,Curtis Samuel,WR,2017
CW-2450,Chad,Williams,Chad Williams,WR,2017
DM-3050,David,Moore,David Moore,WR,2017
DW-2275,Dede,Westbrook,Dede Westbrook,WR,2017
FB-0750,Fred,Brown,Fred Brown,WR,2017
GW-0250,Greg,Ward Jr.,Greg Ward Jr.,WR,2017
IF-0175,Isaiah,Ford,Isaiah Ford,WR,2017
IM-0125,Isaiah,McKenzie,Isaiah McKenzie,WR,2017
JN-0350,JoJo,Natson,JoJo Natson,WR,2017
JR-1950,Josh,Reynolds,Josh Reynolds,WR,2017
JR-3280,John,Ross,John Ross,WR,2017
JS-4750,Juju,Smith-Schuster,Juju Smith-Schuster,WR,2017
KB-1625,Kendrick,Bourne,Kendrick Bourne,WR,2017
KC-1550,Keelan,Cole,Keelan Cole,WR,2017
KG-0650,Kenny,Golladay,Kenny Golladay,WR,2017
KH-2075,Krishawn,Hogan,Krishawn Hogan,WR,2017
MH-3050,Mack,Hollins,Mack Hollins,WR,2017
MW-2825,Mike,Williams,Mike Williams,WR,2017
RD-0150,Rashard,Davis,Rashard Davis,WR,2017
RD-0450,Robert,Davis,Robert Davis,WR,2017
RS-3525,Ryan,Switzer,Ryan Switzer,WR,2017
TP-0675,Tim,Patrick,Tim Patrick,WR,2017
TT-0150,Taywan,Taylor,Taywan Taylor,WR,2017
ZJ-0100,Zay,Jones,Zay Jones,WR,2017
ZP-0050,Zach,Pascal,Zach Pascal,WR,2017
AC-0237,Antonio,Callaway,Antonio Callaway,WR,2018
AL-0387,Allen,Lazard,Allen Lazard,WR,2018
AM-1975,Anthony,Miller,Anthony Miller,WR,2018
AT-0247,Auden,Tate,Auden Tate,WR,2018
BB-1950,Braxton,Berrios,Braxton Berrios,WR,2018
BP-1375,Byron,Pringle,Byron Pringle,WR,2018
BZ-0100,Brandon,Zylstra,Brandon Zylstra,WR,2018
CB-1152,Chad,Beebe,Chad Beebe,WR,2018
CB-1650,Christian,Blake,Christian Blake,WR,2018
CK-0825,Christian,Kirk,Christian Kirk,WR,2018
CL-0125,Chris,Lacy,Chris Lacy,WR,2018
CM-1650,Codey,McElroy,Codey McElroy,WR,2018
CR-0862,Calvin,Ridley,Calvin Ridley,WR,2018
CS-1925,Cam,Sims,Cam Sims,WR,2018
