team,week,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DAL,4,0,8,7,11,5,3,13,5,2,5,3,2,4,9,8,3,3,1,3,7
DAL,5,7,3,6,4,3,4,6,7,6,6,5,9,1,4,2,5,4,4,5,2
DAL,6,2,4,0,15,1,12,6,11,5,10,11,5,6,7,3,2,9,11,7,4
DAL,7,7,14,3,2,3,7,7,13,5,7,5,4,5,9,4,6,5,18,1,11
DAL,8,2,26,5,6,0,13,3,9,4,7,3,9,3,9,5,1,4,4,8,17
DAL,9,4,5,5,7,1,10,7,9,15,4,12,15,20,12,10,8,1,3,4,1
DAL,10,7,2,2,4,5,3,16,5,5,3,13,7,4,1,10,11,1,0,5,3
DAL,11,8,3,8,5,12,6,5,13,10,5,6,6,5,10,4,3,0,0,9,2
DAL,12,2,5,17,6,6,5,0,7,11,5,20,7,9,4,3,3,5,12,4,4
DAL,13,4,3,5,2,6,4,3,1,9,3,6,2,7,1,6,2,8,4,4,6
DAL,14,9,1,0,15,10,2,16,4,12,10,11,5,6,4,10,4,12,0,2,4
DAL,15,5,1,7,5,8,7,4,7,9,6,1,2,0,2,8,7,8,3,13,1
DAL,16,9,2,15,2,3,2,13,7,3,6,19,2,1,7,17,3,2,7,5,6
DEN,1,14,5,7,18,3,4,3,4,4,7,1,3,13,10,9,12,5,5,12,0
DEN,2,12,9,6,2,2,14,5,9,3,10,9,2,1,9,2,20,21,12,3,0
DEN,3,18,2,12,7,6,6,2,7,9,9,0,6,7,3,9,12,8,4,6,0
DEN,4,13,12,7,1,3,10,8,0,3,9,6,6,3,11,3,9,11,5,1,7
DEN,5,11,10,14,6,1,4,8,2,5,5,1,14,6,8,14,18,4,5,5,8
DEN,6,10,7,5,8,8,0,9,16,6,7,8,6,28,6,8,16,4,3,7,13
DEN,7,19,18,8,2,3,4,0,0,6,2,2,2,3,4,6,5,4,5,28,1
DEN,8,4,2,7,2,3,6,16,3,5,13,0,8,7,19,3,7,18,10,4,6
DEN,9,6,11,1,10,4,16,9,18,2,3,12,4,19,4,6,2,2,1,4,2
DEN,10,18,9,17,10,16,13,11,7,2,2,3,13,12,5,3,6,11,4,7,7
DEN,11,11,6,6,2,15,11,3,13,0,9,2,3,4,15,3,5,6,4,10,3
DEN,12,13,2,3,8,6,4,3,2,12,14,4,17,9,2,12,16,12,14,10,7
DEN,13,9,9,5,3,6,9,3,11,1,6,2,6,7,6,10,3,2,7,7,15
DEN,14,14,11,1,4,3,3,9,2,2,5,6,2,13,2,6,7,2,1,6,5
DEN,15,10,9,6,6,10,3,10,4,1,10,4,1,8,7,10,4,2,4,1,4
DEN,16,10,3,7,4,3,12,12,7,2,4,13,1,4,4,13,5,8,12,6,4
DET,1,13,4,0,14,19,11,13,11,1,14,12,6,4,11,6,14,2,15,10,7
DET,2,9,13,2,4,11,2,2,12,5,5,5,12,3,9,4,3,7,13,6,5
DET,3,0,3,7,4,4,11,4,7,3,3,8,6,4,6,12,5,2,14,4,13
DET,4,11,8,15,5,12,9,1,20,3,2,6,19,2,17,6,18,2,8,3,6
DET,5,2,5,9,4,0,24,8,2,13,11,13,3,9,1,10,2,7,2,10,7
DET,6,20,5,9,11,10,10,13,9,5,9,6,6,7,6,14,3,3,18,4,0
DET,7,8,18,8,4,13,4,4,10,5,2,16,7,4,1,5,6,6,4,2,11
DET,8,7,2,9,11,0,5,7,25,5,5,5,25,5,0,4,3,5,5,5,1
DET,9,1,4,6,6,3,4,5,10,3,5,3,4,2,4,7,3,4,14,1,5
DET,10,7,12,5,2,7,3,3,6,4,1,4,9,5,1,4,1,12,9,5,3
DET,11,14,2,5,13,2,4,5,2,14,7,1,2,4,4,2,8,2,6,6,7
DET,12,12,8,4,14,9,2,10,3,3,8,6,2,8,15,7,5,7,0,6,3
DET,13,4,12,8,6,1,10,11,5,6,0,10,28,5,2,12,3,1,13,11,1
DET,14,5,1,0,0,7,6,11,0,5,14,3,7,3,1,10,1,2,8,1,4
DET,15,5,1,5,10,4,9,4,14,2,5,16,10,3,8,4,5,1,5,2,6
DET,16,5,2,21,10,2,5,9,3,5,4,5,7,1,7,7,10,1,12,5,3
GB,1,2,13,6,6,6,2,3,13,9,10,8,5,4,2,3,4,5,5,5,7
GB,2,7,9,5,12,5,2,10,6,23,12,8,12,15,3,4,6,4,3,12,11
GB,3,7,7,17,2,0,3,11,4,7,9,7,7,1,20,8,9,5,5,2,12
GB,4,9,7,10,11,6,6,8,9,12,8,15,15,2,5,5,8,6,9,13,0
GB,5,5,9,17,6,2,26,2,4,2,11,7,5,6,7,18,19,5,11,3,9
GB,6,5,6,12,2,9,9,16,17,7,6,2,5,9,5,7,5,5,4,6,3
GB,7,2,13,13,6,4,4,6,5,18,4,13,6,5,9,5,2,2,7,5,2
GB,8,3,2,18,2,8,5,5,15,2,3,8,20,12,3,4,2,6,3,2,4
GB,9,13,7,10,1,4,9,8,5,20,11,24,5,6,5,16,2,2,5,10,2
GB,10,2,9,8,9,2,9,4,14,9,5,5,6,19,6,29,8,2,5,5,7
GB,11,15,13,4,6,22,3,15,6,3,18,2,7,1,8,4,1,6,7,2,3
GB,12,6,2,13,4,6,7,4,2,4,13,6,11,4,15,1,5,4,15,2,6
GB,13,11,8,6,19,2,0,7,18,7,7,6,17,10,5,5,4,15,6,11,6
GB,14,10,20,4,10,11,0,12,8,2,5,3,0,6,7,5,13,9,1,3,9
GB,15,5,13,16,11,0,3,5,0,7,11,13,4,11,5,9,6,8,3,2,7
GB,16,5,7,1,12,17,8,26,4,5,12,10,8,1,7,10,7,4,2,1,3
HOU,1,0,0,7,8,1,1,3,17,4,16,4,7,10,10,11,2,7,0,8,3
HOU,2,0,0,6,2,4,1,6,7,4,5,5,8,5,6,8,8,10,5,1,6
HOU,3,0,0,7,5,11,2,2,1,1,2,0,6,5,2,3,4,1,13,4,7
HOU,4,0,0,9,10,17,0,5,4,4,13,10,11,22,9,12,2,3,18,14,9
HOU,5,0,0,5,3,3,5,2,3,4,3,4,5,7,1,5,0,2,1,6,10
HOU,6,0,0,1,2,9,6,5,9,2,7,1,6,4,0,13,15,5,16,16,5
HOU,7,0,0,5,0,11,6,1,11,8,4,1,12,16,6,5,6,0,4,10,3
HOU,8,0,0,0,2,3,2,4,1,11,6,5,5,6,6,6,13,1,11,4,0
HOU,9,0,0,4,2,5,5,10,7,3,6,2,8,8,7,16,7,12,3,4,12
HOU,10,0,0,7,6,4,2,10,7,0,2,7,12,4,2,7,7,2,6,15,1
HOU,11,0,0,7,14,7,9,1,3,12,6,7,9,5,5,8,4,5,3,10,3
HOU,12,0,0,2,5,3,10,21,5,9,6,3,4,18,3,11,1,3,2,14,5
HOU,13,0,0,34,1,2,0,6,8,4,11,5,5,3,1,6,5,7,4,4,3
HOU,14,0,0,2,2,16,14,1,5,4,7,5,2,15,3,12,7,4,1,5,6
HOU,15,0,0,8,8,14,3,2,3,5,5,3,5,3,1,8,13,5,0,7,21
HOU,16,0,0,2,5,5,7,13,2,2,12,6,5,1,3,7,22,6,1,7,0
IND,1,9,9,11,4,6,17,4,13,2,1,4,7,10,5,1,0,1,3,6,8
IND,2,0,6,3,15,7,8,8,7,4,4,16,3,6,7,2,3,3,8,5,4
IND,3,11,1,8,4,5,4,5,7,2,10,5,15,1,7,16,13,10,7,9,2
IND,4,4,5,9,15,3,6,9,5,14,9,0,4,7,16,9,1,3,9,9,3
IND,5,4,0,9,4,16,21,2,3,14,5,2,2,1,14,10,5,2,2,4,6
IND,6,12,9,3,7,7,9,1,11,0,13,9,0,2,2,9,10,3,9,6,9
IND,7,2,12,3,6,5,15,3,6,0,8,13,2,2,10,4,6,11,5,12,3
IND,8,13,7,1,9,4,6,10,6,4,6,3,3,2,1,6,8,5,9,2,7
IND,9,0,4,6,2,25,3,4,13,8,6,19,9,16,4,5,5,5,4,4,7
IND,10,4,5,9,3,14,3,5,6,4,4,1,4,0,2,4,15,5,5,9,4
IND,11,4,14,6,4,11,7,14,6,4,14,2,7,4,5,7,7,0,4,3,3
IND,12,2,1,10,8,19,13,4,7,13,5,4,1,2,11,14,4,7,1,5,10
IND,13,4,8,5,7,9,6,3,16,19,5,2,6,11,0,7,13,4,4,5,15
IND,14,31,4,4,8,8,7,6,8,4,4,5,13,3,10,5,7,11,5,9,0
IND,15,7,4,6,8,3,2,0,6,11,2,3,6,13,13,3,10,3,3,2,11
IND,16,3,13,5,2,1,7,4,5,3,0,3,5,8,7,6,12,6,6,6,5
JAC,1,2,15,7,9,5,13,8,6,5,5,7,4,6,3,11,6,1,24,12,0
JAC,2,7,4,5,0,2,2,6,7,5,4,9,5,0,5,3,2,5,3,4,3
JAC,3,13,15,10,2,5,12,2,7,11,6,3,0,2,6,2,2,6,8,3,11
JAC,4,2,6,5,9,2,5,4,4,0,6,5,7,4,4,2,9,8,15,5,2
JAC,5,10,2,3,8,1,6,16,12,11,1,3,4,3,2,6,2,1,24,5,5
JAC,6,6,7,6,5,8,16,1,4,6,3,0,3,8,12,3,1,0,5,3,3
JAC,7,2,4,8,2,5,8,4,14,1,0,1,7,4,1,9,24,0,10,1,16
JAC,8,4,8,5,10,2,8,13,3,4,3,10,6,1,2,5,2,2,2,8,14
JAC,9,8,2,8,4,4,16,3,10,11,6,2,11,6,15,6,9,1,4,2,5
JAC,10,1,6,6,8,9,5,7,4,3,10,8,4,8,3,3,6,7,21,8,7
JAC,11,13,13,11,4,8,7,2,7,7,0,0,10,5,4,11,4,5,11,0,5
JAC,12,2,3,4,4,3,5,8,3,2,8,5,0,4,9,22,8,2,8,7,6
JAC,13,8,7,9,9,11,3,6,11,3,10,5,21,5,7,1,13,2,8,3,1
JAC,14,6,8,7,4,12,4,3,5,5,2,1,3,3,8,2,3,4,6,3,4
JAC,15,12,10,0,3,12,6,1,12,0,2,3,7,7,5,4,3,11,5,13,5
JAC,16,5,3,2,3,9,5,9,3,3,2,0,9,10,1,13,4,10,13,8,13
KC,1,5,14,3,7,7,11,3,6,6,11,3,3,1,16,7,9,1,3,3,5
KC,2,16,7,2,18,11,6,2,9,4,4,11,2,0,7,1,11,6,8,1,7
KC,3,12,3,6,15,5,1,12,7,2,2,7,6,8,20,4,1,20,8,4,3
KC,4,9,4,12,9,4,7,8,15,9,6,3,4,5,9,15,0,2,0,6,16
KC,5,10,5,5,2,4,16,3,4,4,5,2,0,8,15,3,10,6,5,21,2
KC,6,4,4,13,13,8,4,10,10,0,11,11,25,11,21,4,6,11,3,4,6
KC,7,14,5,5,8,2,4,6,6,13,0,5,11,2,7,9,8,10,2,10,17
KC,8,11,5,8,17,1,3,6,5,8,3,8,0,5,5,3,10,8,17,9,5
KC,9,0,4,5,7,6,6,5,5,6,6,0,0,3,18,3,15,12,1,6,1
KC,10,1,3,4,2,3,13,3,6,2,8,2,5,2,2,4,13,2,4,9,6
KC,11,3,4,1,5,1,11,4,4,0,2,8,5,4,1,3,5,5,2,15,10
KC,12,22,10,13,11,3,6,5,5,10,9,6,13,2,4,3,16,10,0,9,14
KC,13,5,4,19,0,19,4,2,1,8,8,6,7,3,16,2,7,1,9,5,7
KC,14,8,2,8,4,9,5,6,1,9,6,7,4,2,20,6,20,7,10,9,4
KC,15,4,10,3,6,4,5,14,4,4,3,13,4,3,1,1,4,6,4,3,3
KC,16,3,7,3,8,5,5,13,3,1,20,8,6,2,5,13,10,4,17,17,7
LA,1,4,13,7,8,2,6,14,4,0,6,10,5,13,8,0,8,2,24,13,9
LA,2,15,3,4,3,1,8,2,6,2,3,6,5,5,2,7,4,6,2,3,4
LA,3,6,12,3,6,1,14,9,3,3,2,7,4,4,3,10,7,12,8,14,5
LA,4,20,18,6,5,7,1,8,3,6,4,8,6,8,6,6,10,13,6,6,10
LA,5,5,7,1,19,1,10,6,7,16,6,1,3,11,14,2,8,4,7,2,3
LA,6,5,9,10,9,16,2,6,6,11,15,11,4,3,25,3,18,1,9,4,6
LA,7,2,8,9,10,6,16,1,3,7,0,3,18,3,4,4,5,2,7,17,17
LA,8,4,13,9,7,10,12,2,2,1,6,11,5,0,7,12,3,5,10,5,5
LA,9,7,8,5,27,4,4,16,6,0,5,5,4,5,8,5,6,3,11,2,15
LA,10,9,4,7,5,3,3,9,7,6,6,0,8,5,19,6,5,6,0,6,5
LA,11,4,14,0,10,0,5,6,11,5,3,7,9,22,13,13,2,4,3,25,3
LA,12,7,5,11,22,6,0,1,10,2,4,8,4,11,6,24,2,0,20,8,14
LA,13,11,9,1,19,4,2,0,13,3,2,7,4,8,3,11,12,2,12,7,7
LA,14,4,3,11,4,10,12,12,6,7,4,5,3,4,12,1,4,4,11,2,0
LA,15,6,4,4,9,3,4,2,4,12,4,12,2,19,11,3,16,10,3,4,10
LA,16,4,11,13,7,6,13,14,10,7,3,2,3,6,4,7,3,7,6,17,11
LAC,1,6,9,6,7,10,6,11,13,3,7,1,4,7,4,8,5,5,8,1,2
LAC,2,6,11,21,1,0,7,4,6,4,3,14,2,2,5,4,4,8,2,9,4
LAC,3,10,10,17,3,3,4,10,2,17,9,7,3,4,2,3,2,14,5,5,4
LAC,4,7,8,6,5,3,11,9,6,10,3,21,7,22,5,9,6,6,1,5,7
LAC,5,2,5,8,5,9,5,9,13,2,1,3,2,5,4,6,5,5,9,7,13
LAC,6,2,10,5,13,7,6,4,11,6,13,3,12,10,3,2,3,8,5,9,2
LAC,7,8,16,5,3,3,7,11,17,0,7,4,11,2,8,3,1,5,11,4,4
LAC,8,3,6,4,4,7,6,15,5,0,7,0,4,21,12,0,3,13,3,12,7
LAC,9,3,11,20,7,7,3,5,14,1,4,4,7,1,4,0,11,18,9,6,3
LAC,10,0,6,3,7,3,10,4,0,4,9,7,2,15,6,4,3,3,25,0,3
LAC,11,19,7,1,3,5,2,9,8,3,14,23,1,5,7,17,4,9,12,4,5
LAC,12,7,2,10,5,10,13,11,19,12,4,3,4,13,4,0,3,3,7,9,2
LAC,13,2,4,1,2,17,4,6,6,11,1,4,13,12,8,11,4,4,4,3,2
